Province,Organization,CC&M,Education,FSA,Health,Livelihoods,Nutrition,Protection,SS&R,WASH,Telecomms,Other,Shape_Length,Shape_Area,admin0Name_en,admin1Pcode,Shape *,OBJECTID *
Province 6,Restless Development Nepal ,,,,X,,,X,,,,,13.982,2.851475,Nepal,NP06,Polygon,6
Province 6,Humanity & Inclusion,,X,,X,,,,,,,,13.982,2.851475,Nepal,NP06,Polygon,6
Province 6,TPO Nepal ,,,,X,,,X,,,,,13.982,2.851475,Nepal,NP06,Polygon,6
Province 6,Youth Innovation Lab,,X,,,X,,,,,X,X,13.982,2.851475,Nepal,NP06,Polygon,6
Province 6,Disaster Preparedness Network Nepal,,,,,,,,,,,X,13.982,2.851475,Nepal,NP06,Polygon,6
Province 6,Yuwalaya,,,,,X,,X,,,,,13.982,2.851475,Nepal,NP06,Polygon,6
Province 6,Plan International Nepal ,,,,,X,X,X,,X,,,13.982,2.851475,Nepal,NP06,Polygon,6
Province 6,Nepal Red Cross Society,X,,X,X,,,X,X,X,,,13.982,2.851475,Nepal,NP06,Polygon,6
Province 6,The Lutheran World Federation Nepal,,,X,,X,,,,X,,,13.982,2.851475,Nepal,NP06,Polygon,6
Province 6,World Vision International Nepal,X,,,,X,,,,,,,13.982,2.851475,Nepal,NP06,Polygon,6
Province 6,World Vision International Nepal,,X,X,X,X,X,X,X,X,,,13.982,2.851475,Nepal,NP06,Polygon,6
Province 6,Save the Children,,,X,X,X,X,X,,X,,,13.982,2.851475,Nepal,NP06,Polygon,6
Province 6,VSO Nepal,,,,X,X,,,,X,,,13.982,2.851475,Nepal,NP06,Polygon,6
Province 7,Mercy Corps,,X,X,X,X,X,X,,X,,,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,Girls Kick ,,X,,,,,X,,,,,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,Restless Development Nepal ,,,,X,,,X,,,,,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,Humanity & Inclusion,,X,,X,,,,,,,,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,Actionaid,,,X,,X,,X,,,,,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,Youth Innovation Lab,,X,,,X,,,,,X,X,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,Disaster Preparedness Network Nepal,,,,,,,,,,,X,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,Nepal Youth Foundation,,,,,X,,,,,,,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,Nepal Red Cross Society,X,,,,X,,X,X,X,,X,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,Blind Youth Association Nepal,,X,,X,X,,,,,,,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,The Lutheran World Federation Nepal,,,X,,X,,X,,X,,,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,World Vision International Nepal,X,,,X,X,,X,,,,,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,World Vision International Nepal,,,X,X,X,X,X,X,,,,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,Save the Children,,,X,X,X,X,X,,X,,,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,VSO Nepal,,,,,X,,X,,,,,9.829445,1.833931,Nepal,NP07,Polygon,7
Province 7,"Finn Church Aid, Nepal Country Office",,,X,,X,,,,,,,9.829445,1.833931,Nepal,NP07,Polygon,7
